stair.thisTrialN,stair.stepSize,stair.intensity,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
0,2,10,9.2120137,9.7779787,9.7779787,9.7956559,10.0787479,left,-10,1,1,2.6788883,259127,1,2023-09-01_11h48.01.246,adaptive_staircase,2023.1.3,59.95207431
1,2,8,12.476362,12.9763442,12.9763442,12.9763442,13.2757573,right,8,1,1,0.8299134,259127,1,2023-09-01_11h48.01.246,adaptive_staircase,2023.1.3,59.95207431
2,2,6,13.8254614,14.3251089,14.3251089,14.3251089,14.6245347,right,6,1,1,0.7455597,259127,1,2023-09-01_11h48.01.246,adaptive_staircase,2023.1.3,59.95207431
3,2,4,15.0907711,15.5904794,15.5904794,15.5904794,15.8899584,left,-4,1,1,1.1446827,259127,1,2023-09-01_11h48.01.246,adaptive_staircase,2023.1.3,59.95207431
4,2,2,16.7559021,17.2555288,17.2555288,17.2555288,17.5551146,right,2,1,1,0.8284328,259127,1,2023-09-01_11h48.01.246,adaptive_staircase,2023.1.3,59.95207431
5,2,1,18.1045747,18.6040166,18.6040166,18.6040166,18.9039131,left,-1,1,1,1.50945,259127,1,2023-09-01_11h48.01.246,adaptive_staircase,2023.1.3,59.95207431
6,2,1,20.1361329,20.6358557,20.6358557,20.6358557,20.9355538,left,-1,1,1,1.7266964,259127,1,2023-09-01_11h48.01.246,adaptive_staircase,2023.1.3,59.95207431
7,2,1,22.3839981,22.8837066,22.8837066,22.8837066,23.1833481,right,1,1,1,0.6854597,259127,1,2023-09-01_11h48.01.246,adaptive_staircase,2023.1.3,59.95207431
8,2,1,23.5997404,24.0991179,24.0991179,24.0991179,24.3984858,left,-1,1,1,0.7804771,259127,1,2023-09-01_11h48.01.246,adaptive_staircase,2023.1.3,59.95207431
9,1,1,24.8981086,25.3980123,25.3980123,25.3980123,25.6974623,right,1,0,0,93.7759233,259127,1,2023-09-01_11h48.01.246,adaptive_staircase,2023.1.3,59.95207431
10,1,2,119.1936465,119.6933762,119.6933762,119.6933762,119.9929889,right,2,1,1,0.6207302,259127,1,2023-09-01_11h48.01.246,adaptive_staircase,2023.1.3,59.95207431
11,1,2,120.3425365,120.8422192,120.8422192,120.8422192,121.1419809,left,-2,1,1,0.3717977,259127,1,2023-09-01_11h48.01.246,adaptive_staircase,2023.1.3,59.95207431
12,1,2,121.2416713,121.7413086,121.7413086,121.7413086,122.0408233,right,2,1,1,0.4873903,259127,1,2023-09-01_11h48.01.246,adaptive_staircase,2023.1.3,59.95207431
